Region,From 65 to 69 years,From 70 to 74 years,75 years or over,Total,Total Region,Ratio Elder/Total
Italy,3557141,3099710,6987512,13644363,60483973,23
Piemonte,277232,244672,584150,1106054,4375865,25
Valle d'Aosta/Vallée d'Aoste,7815,6580,15269,29664,126202,24
Liguria,100851,96627,244801,442279,1556981,28
Lombardia,579449,508937,1159317,2247703,10036258,22
Trentino-Alto Adige/Südtirol,5648,50565,112835,169048,1067648,16
Veneto,286058,256567,566331,1108956,4905037,23
Friuli-Venezia Giulia,77868,73094,164406,315368,1215538,26
Emilia-Romagna,259277,234257,567674,1061208,4452629,24
Toscana,230028,214620,498663,943311,3736968,25
Umbria,55213,48420,119592,223225,884640,25
Marche,92610,80330,202571,375511,1531753,25
Lazio,330736,289473,640958,1261167,5896693,21
Abruzzo,81586,66754,161468,309808,1315196,24
Molise,19781,15276,39683,74740,308493,24
Campania,313445,259494,502466,1075405,5826860,18
Puglia,242071,205498,430185,877754,4048242,22
Basilicata,34794,25942,67441,128177,567118,23
Calabria,115337,91476,207797,414610,1956687,21
Sicilia,290650,241981,515063,1047694,5026989,21
Sardegna,105860,89147,186842,381849,1648176,23
